"","gene","coverage","chromosome","begin","end","orientation","length","position","perc_coverage","Mb_position","Chr"
"242","Sh01_g003000",18,"Sh01",4170237,4175342,"-",5105,4172789.5,0.352595494613124,4.1727895,"Sh0"
"243","Sh01_g003110",141,"Sh01",4371503,4375788,"+",4285,4373645.5,3.29054842473746,4.3736455,"Sh0"
"244","Sh01_g003170",118,"Sh01",4440496,4446366,"-",5870,4443431,2.01022146507666,4.443431,"Sh0"
"245","Sh01_g003290",15,"Sh01",4544768,4545750,"-",982,4545259,1.52749490835031,4.545259,"Sh0"
"246","Sh01_g003350",122,"Sh01",4616223,4621409,"+",5186,4618816,2.3524874662553,4.618816,"Sh0"
"247","Sh01_g003380",18,"Sh01",4665574,4670101,"+",4527,4667837.5,0.397614314115308,4.6678375,"Sh0"
"248","Sh01_g003460",36,"Sh01",4724613,4741912,"+",17299,4733262.5,0.208104514711833,4.7332625,"Sh0"
"249","Sh01_g003560",70,"Sh01",4927454,4929861,"+",2407,4928657.5,2.90818446198587,4.9286575,"Sh0"
"250","Sh01_g003630",85,"Sh01",5058280,5064963,"-",6683,5061621.5,1.27188388448302,5.0616215,"Sh0"
"251","Sh01_g003660",20,"Sh01",5128265,5129796,"-",1531,5129030.5,1.30633572828217,5.1290305,"Sh0"
"252","Sh01_g003710",18,"Sh01",5201484,5204033,"-",2549,5202758.5,0.706159278148293,5.2027585,"Sh0"
"253","Sh01_g003760",220,"Sh01",5296625,5299320,"+",2695,5297972.5,8.16326530612245,5.2979725,"Sh0"
"254","Sh01_g003830",18,"Sh01",5420388,5423847,"-",3459,5422117.5,0.520381613183001,5.4221175,"Sh0"
"255","Sh01_g003840",54,"Sh01",5428744,5434675,"+",5931,5431709.5,0.910470409711684,5.4317095,"Sh0"
"256","Sh01_g003870",19,"Sh01",5545166,5552306,"-",7140,5548736,0.266106442577031,5.548736,"Sh0"
"257","Sh01_g003880",18,"Sh01",5600707,5601981,"+",1274,5601344,1.41287284144427,5.601344,"Sh0"
"258","Sh01_g003940",24,"Sh01",5721543,5721782,"+",239,5721662.5,10.0418410041841,5.7216625,"Sh0"
"259","Sh01_g004020",18,"Sh01",5870007,5873619,"+",3612,5871813,0.498338870431894,5.871813,"Sh0"
"260","Sh01_g004060",21,"Sh01",5949533,5953110,"-",3577,5951321.5,0.587084148727984,5.9513215,"Sh0"
"261","Sh01_g004120",20,"Sh01",6032588,6035639,"+",3051,6034113.5,0.655522779416585,6.0341135,"Sh0"
"262","Sh01_g004180",151,"Sh01",6155842,6158304,"-",2462,6157073,6.13322502030869,6.157073,"Sh0"
"263","Sh01_g004270",196,"Sh01",6228488,6237291,"-",8803,6232889.5,2.22651368851528,6.2328895,"Sh0"
"264","Sh01_g004280",36,"Sh01",6252237,6259255,"-",7018,6255746,0.512966657167284,6.255746,"Sh0"
"265","Sh01_g004310",20,"Sh01",6332536,6333237,"+",701,6332886.5,2.85306704707561,6.3328865,"Sh0"
"266","Sh01_g004350",142,"Sh01",6382789,6389493,"+",6704,6386141,2.118138424821,6.386141,"Sh0"
"267","Sh01_g004440",120,"Sh01",6468275,6473625,"-",5350,6470950,2.24299065420561,6.47095,"Sh0"
"268","Sh01_g004470",45,"Sh01",6508334,6512169,"+",3835,6510251.5,1.17340286831812,6.5102515,"Sh0"
"269","Sh01_g004500",63,"Sh01",6548487,6553262,"+",4775,6550874.5,1.31937172774869,6.5508745,"Sh0"
"270","Sh01_g004520",20,"Sh01",6575920,6577469,"+",1549,6576694.5,1.2911555842479,6.5766945,"Sh0"
"271","Sh01_g004540",36,"Sh01",6589714,6593229,"-",3515,6591471.5,1.02418207681366,6.5914715,"Sh0"
"272","Sh01_g004570",18,"Sh01",6640724,6645141,"+",4417,6642932.5,0.407516413855558,6.6429325,"Sh0"
"273","Sh01_g004680",41,"Sh01",6726478,6729684,"-",3206,6728081,1.2788521522146,6.728081,"Sh0"
"274","Sh01_g004820",18,"Sh01",6949273,6952974,"-",3701,6951123.5,0.4863550391786,6.9511235,"Sh0"
"275","Sh01_g004830",18,"Sh01",6966470,6967135,"-",665,6966802.5,2.70676691729323,6.9668025,"Sh0"
"276","Sh01_g004870",1248,"Sh01",7045031,7055959,"-",10928,7050495,11.4202049780381,7.050495,"Sh0"
"277","Sh01_g004940",19,"Sh01",7173034,7181289,"-",8255,7177161.5,0.230163537250151,7.1771615,"Sh0"
"278","Sh01_g004980",42,"Sh01",7217377,7224312,"+",6935,7220844.5,0.6056236481615,7.2208445,"Sh0"
"279","Sh01_g005040",18,"Sh01",7271831,7275029,"+",3198,7273430,0.562851782363977,7.27343,"Sh0"
"280","Sh01_g005120",36,"Sh01",7414075,7415614,"+",1539,7414844.5,2.33918128654971,7.4148445,"Sh0"
"281","Sh01_g005220",18,"Sh01",7648705,7652928,"-",4223,7650816.5,0.426237272081459,7.6508165,"Sh0"
"282","Sh01_g005270",18,"Sh01",7752289,7754899,"-",2610,7753594,0.689655172413793,7.753594,"Sh0"
"283","Sh01_g005290",18,"Sh01",7785998,7790369,"+",4371,7788183.5,0.411805078929307,7.7881835,"Sh0"
"284","Sh01_g005350",18,"Sh01",7834446,7836789,"-",2343,7835617.5,0.768245838668374,7.8356175,"Sh0"
"285","Sh01_g005360",19,"Sh01",7851300,7855197,"+",3897,7853248.5,0.487554529124968,7.8532485,"Sh0"
"286","Sh01_g005400",19,"Sh01",7891198,7895746,"+",4548,7893472,0.417766051011434,7.893472,"Sh0"
"287","Sh01_g005420",18,"Sh01",7902765,7905684,"-",2919,7904224.5,0.616649537512847,7.9042245,"Sh0"
"288","Sh01_g005440",384,"Sh01",7961428,7963789,"+",2361,7962608.5,16.2642947903431,7.9626085,"Sh0"
"289","Sh01_g005450",20,"Sh01",7987603,7991370,"+",3767,7989486.5,0.530926466684364,7.9894865,"Sh0"
"290","Sh01_g005500",18,"Sh01",8043304,8052345,"-",9041,8047824.5,0.199093020683553,8.0478245,"Sh0"
"291","Sh01_g005510",19,"Sh01",8060898,8062620,"-",1722,8061759,1.10336817653891,8.061759,"Sh0"
"292","Sh01_g005530",50,"Sh01",8073530,8080767,"-",7237,8077148.5,0.690894016857814,8.0771485,"Sh0"
"293","Sh01_g005540",19,"Sh01",8103171,8107280,"-",4109,8105225.5,0.462399610610854,8.1052255,"Sh0"
"294","Sh01_g005560",19,"Sh01",8132560,8135871,"-",3311,8134215.5,0.573844759891271,8.1342155,"Sh0"
"295","Sh01_g005570",18,"Sh01",8137824,8141851,"-",4027,8139837.5,0.446982865656816,8.1398375,"Sh0"
"296","Sh01_g005830",216,"Sh01",8388892,8392543,"-",3651,8390717.5,5.91618734593262,8.3907175,"Sh0"
"297","Sh01_g005850",18,"Sh01",8454734,8457177,"-",2443,8455955.5,0.73679901760131,8.4559555,"Sh0"
"298","Sh01_g005860",22,"Sh01",8468847,8471219,"+",2372,8470033,0.927487352445194,8.470033,"Sh0"
"299","Sh01_g005900",106,"Sh01",8565823,8572383,"-",6560,8569103,1.61585365853659,8.569103,"Sh0"
"300","Sh01_g005940",69,"Sh01",8630407,8636004,"+",5597,8633205.5,1.23280328747543,8.6332055,"Sh0"
"301","Sh01_g005960",18,"Sh01",8651392,8653307,"-",1915,8652349.5,0.939947780678851,8.6523495,"Sh0"
"302","Sh01_g006010",573,"Sh01",8741667,8748709,"-",7042,8745188,8.13689292814541,8.745188,"Sh0"
"303","Sh01_g006030",52,"Sh01",8759709,8761693,"-",1984,8760701,2.62096774193548,8.760701,"Sh0"
"304","Sh01_g006060",135,"Sh01",8795016,8796985,"-",1969,8796000.5,6.85627221940071,8.7960005,"Sh0"
"305","Sh01_g006110",18,"Sh01",8833881,8838574,"+",4693,8836227.5,0.383549968037503,8.8362275,"Sh0"
"306","Sh01_g006120",246,"Sh01",8881192,8885180,"+",3988,8883186,6.16850551654965,8.883186,"Sh0"
"307","Sh01_g006140",36,"Sh01",8892622,8897384,"+",4762,8895003,0.755984880302394,8.895003,"Sh0"
"308","Sh01_g006330",18,"Sh01",9195017,9196269,"-",1252,9195643,1.43769968051118,9.195643,"Sh0"
"309","Sh01_g006340",349,"Sh01",9204303,9213256,"+",8953,9208779.5,3.89813470345136,9.2087795,"Sh0"
"310","Sh01_g006360",87,"Sh01",9230127,9234248,"+",4121,9232187.5,2.11113807328318,9.2321875,"Sh0"
"311","Sh01_g006370",42,"Sh01",9234756,9238416,"-",3660,9236586,1.14754098360656,9.236586,"Sh0"
"312","Sh01_g006420",23,"Sh01",9327581,9333192,"-",5611,9330386.5,0.409909107111032,9.3303865,"Sh0"
"313","Sh01_g006480",18,"Sh01",9458843,9464666,"+",5823,9461754.5,0.309119010819165,9.4617545,"Sh0"
"314","Sh01_g006490",75,"Sh01",9467395,9469569,"+",2174,9468482,3.44986200551978,9.468482,"Sh0"
"315","Sh01_g006500",18,"Sh01",9497191,9501969,"-",4778,9499580,0.376726663876099,9.49958,"Sh0"
"316","Sh01_g006510",18,"Sh01",9507564,9510043,"+",2479,9508803.5,0.72609923356192,9.5088035,"Sh0"
"317","Sh01_g006520",45,"Sh01",9511321,9511808,"+",487,9511564.5,9.24024640657084,9.5115645,"Sh0"
"318","Sh01_g006560",18,"Sh01",9540177,9542696,"-",2519,9541436.5,0.714569273521239,9.5414365,"Sh0"
"319","Sh01_g006640",18,"Sh01",9610430,9613623,"-",3193,9612026.5,0.563733166301284,9.6120265,"Sh0"
"320","Sh01_g006650",126,"Sh01",9648896,9655403,"+",6507,9652149.5,1.93637621023513,9.6521495,"Sh0"
"321","Sh01_g006660",257,"Sh01",9663809,9668688,"+",4879,9666248.5,5.26747284279566,9.6662485,"Sh0"
"322","Sh01_g006730",18,"Sh01",9726778,9735991,"-",9213,9731384.5,0.195376098990557,9.7313845,"Sh0"
"323","Sh01_g006750",37,"Sh01",9740202,9754267,"-",14065,9747234.5,0.263064344116602,9.7472345,"Sh0"
"324","Sh01_g006790",19,"Sh01",9775271,9779458,"+",4187,9777364.5,0.453785526630045,9.7773645,"Sh0"
"325","Sh01_g006920",63,"Sh01",10042766,10044361,"+",1595,10043563.5,3.94984326018809,10.0435635,"Sh0"
"326","Sh01_g006930",394,"Sh01",10056065,10057639,"-",1574,10056852,25.0317662007624,10.056852,"Sh0"
"327","Sh01_g006940",140,"Sh01",10059923,10064302,"+",4379,10062112.5,3.19707695820964,10.0621125,"Sh0"
"328","Sh01_g007030",172,"Sh01",10149789,10153685,"+",3896,10151737,4.41478439425051,10.151737,"Sh0"
"329","Sh01_g007170",18,"Sh01",10396257,10397516,"+",1259,10396886.5,1.42970611596505,10.3968865,"Sh0"
"330","Sh01_g007220",72,"Sh01",10428494,10429126,"+",632,10428810,11.3924050632911,10.42881,"Sh0"
"331","Sh01_g007270",18,"Sh01",10478856,10481121,"-",2265,10479988.5,0.794701986754967,10.4799885,"Sh0"
"332","Sh01_g007400",18,"Sh01",10578806,10585897,"-",7091,10582351.5,0.253842899450007,10.5823515,"Sh0"
"333","Sh01_g007450",18,"Sh01",10651574,10656064,"-",4490,10653819,0.400890868596882,10.653819,"Sh0"
"334","Sh01_g007460",20,"Sh01",10758339,10773284,"-",14945,10765811.5,0.133824021411843,10.7658115,"Sh0"
"335","Sh01_g007510",144,"Sh01",10810875,10813750,"+",2875,10812312.5,5.00869565217391,10.8123125,"Sh0"
"336","Sh01_g007520",45,"Sh01",10817297,10825369,"-",8072,10821333,0.557482656095144,10.821333,"Sh0"
"337","Sh01_g007540",47,"Sh01",10848647,10851244,"+",2597,10849945.5,1.80978051597998,10.8499455,"Sh0"
"338","Sh01_g007550",18,"Sh01",10852717,10857471,"-",4754,10855094,0.378628523348759,10.855094,"Sh0"
"339","Sh01_g007600",85,"Sh01",10888513,10890006,"+",1493,10889259.5,5.69323509711989,10.8892595,"Sh0"
"340","Sh01_g007670",40,"Sh01",10938824,10940836,"+",2012,10939830,1.98807157057654,10.93983,"Sh0"
"341","Sh01_g007730",18,"Sh01",10976303,10980647,"-",4344,10978475,0.414364640883978,10.978475,"Sh0"
"342","Sh01_g007750",56,"Sh01",10996481,10996791,"-",310,10996636,18.0645161290323,10.996636,"Sh0"
"343","Sh01_g007780",18,"Sh01",11012217,11013869,"+",1652,11013043,1.08958837772397,11.013043,"Sh0"
"344","Sh01_g007790",18,"Sh01",11013900,11015859,"+",1959,11014879.5,0.918836140888208,11.0148795,"Sh0"
"345","Sh01_g007810",50,"Sh01",11017974,11018503,"-",529,11018238.5,9.45179584120983,11.0182385,"Sh0"
"346","Sh01_g007900",50,"Sh01",11143567,11147335,"+",3768,11145451,1.32696390658174,11.145451,"Sh0"
"347","Sh01_g007940",38,"Sh01",11246848,11255826,"-",8978,11251337,0.423256850077968,11.251337,"Sh0"
"348","Sh01_g007990",44,"Sh01",11377993,11385518,"-",7525,11381755.5,0.584717607973422,11.3817555,"Sh0"
"349","Sh01_g008000",102,"Sh01",11389090,11390417,"-",1327,11389753.5,7.68651092690279,11.3897535,"Sh0"
"350","Sh01_g008010",101,"Sh01",11392015,11393211,"+",1196,11392613,8.4448160535117,11.392613,"Sh0"
"351","Sh01_g008050",157,"Sh01",11526879,11530212,"+",3333,11528545.5,4.71047104710471,11.5285455,"Sh0"
"352","Sh01_g008070",18,"Sh01",11579013,11580035,"-",1022,11579524,1.76125244618395,11.579524,"Sh0"
"353","Sh01_g008160",392,"Sh01",11743535,11749811,"+",6276,11746673,6.24601657106437,11.746673,"Sh0"
"354","Sh01_g008170",17,"Sh01",11757183,11761939,"-",4756,11759561,0.35744322960471,11.759561,"Sh0"
"355","Sh01_g008180",89,"Sh01",11761978,11763919,"-",1941,11762948.5,4.58526532715095,11.7629485,"Sh0"
"356","Sh01_g008190",988,"Sh01",11770644,11788171,"-",17527,11779407.5,5.63701717350374,11.7794075,"Sh0"
"357","Sh01_g008260",214,"Sh01",11969965,11971427,"+",1462,11970696,14.6374829001368,11.970696,"Sh0"
"358","Sh01_g008320",586,"Sh01",12095596,12096721,"-",1125,12096158.5,52.0888888888889,12.0961585,"Sh0"
"359","Sh01_g008370",18,"Sh01",12147203,12147971,"+",768,12147587,2.34375,12.147587,"Sh0"
"360","Sh01_g008400",36,"Sh01",12255831,12258827,"+",2996,12257329,1.20160213618158,12.257329,"Sh0"
"361","Sh01_g008540",689,"Sh01",12504192,12511508,"-",7316,12507850,9.41771459814106,12.50785,"Sh0"
"362","Sh01_g008600",18,"Sh01",12604311,12610370,"+",6059,12607340.5,0.297078725862354,12.6073405,"Sh0"
"363","Sh01_g008620",19,"Sh01",12617066,12620668,"+",3602,12618867,0.527484730705164,12.618867,"Sh0"
"364","Sh01_g008630",54,"Sh01",12625360,12641532,"+",16172,12633446,0.333910462527826,12.633446,"Sh0"
"365","Sh01_g008680",18,"Sh01",12786524,12787995,"-",1471,12787259.5,1.22365737593474,12.7872595,"Sh0"
"366","Sh01_g008720",70,"Sh01",12842932,12848369,"-",5437,12845650.5,1.28747471031819,12.8456505,"Sh0"
"367","Sh01_g008740",19,"Sh01",12848603,12850646,"-",2043,12849624.5,0.930004894762604,12.8496245,"Sh0"
"368","Sh01_g008920",18,"Sh01",13106849,13112753,"+",5904,13109801,0.304878048780488,13.109801,"Sh0"
"369","Sh01_g008950",20,"Sh01",13132360,13133966,"+",1606,13133163,1.2453300124533,13.133163,"Sh0"
"370","Sh01_g008970",18,"Sh01",13152279,13153369,"+",1090,13152824,1.65137614678899,13.152824,"Sh0"
"371","Sh01_g008990",18,"Sh01",13173580,13177598,"+",4018,13175589,0.447984071677451,13.175589,"Sh0"
"372","Sh01_g009020",238,"Sh01",13205428,13210689,"-",5261,13208058.5,4.52385478045999,13.2080585,"Sh0"
"373","Sh01_g009100",57,"Sh01",13296608,13300029,"-",3421,13298318.5,1.6661794796843,13.2983185,"Sh0"
"374","Sh01_g009130",37,"Sh01",13338899,13348697,"+",9798,13343798,0.377628087364768,13.343798,"Sh0"
"375","Sh01_g009230",122,"Sh01",13513226,13521110,"-",7884,13517168,1.54743784880771,13.517168,"Sh0"
"376","Sh01_g009270",406,"Sh01",13579271,13581348,"-",2077,13580309.5,19.5474241694752,13.5803095,"Sh0"
"377","Sh01_g009320",18,"Sh01",13665404,13668418,"+",3014,13666911,0.59721300597213,13.666911,"Sh0"
"378","Sh01_g009340",18,"Sh01",13670302,13670929,"-",627,13670615.5,2.87081339712919,13.6706155,"Sh0"
"379","Sh01_g009460",19,"Sh01",13791464,13794922,"-",3458,13793193,0.549450549450549,13.793193,"Sh0"
"380","Sh01_g009480",18,"Sh01",13853760,13857181,"+",3421,13855470.5,0.526161940952938,13.8554705,"Sh0"
"381","Sh01_g009520",22,"Sh01",13919042,13919617,"-",575,13919329.5,3.82608695652174,13.9193295,"Sh0"
"382","Sh01_g009540",19,"Sh01",13947884,13956131,"+",8247,13952007.5,0.230386807323875,13.9520075,"Sh0"
"383","Sh01_g009560",174,"Sh01",14025242,14032237,"+",6995,14028739.5,2.48749106504646,14.0287395,"Sh0"
"384","Sh01_g009710",57,"Sh01",14421775,14426781,"+",5006,14424278,1.13863363963244,14.424278,"Sh0"
"385","Sh01_g009720",188,"Sh01",14433951,14435146,"+",1195,14434548.5,15.7322175732218,14.4345485,"Sh0"
"386","Sh01_g009760",43,"Sh01",14521138,14521375,"+",237,14521256.5,18.1434599156118,14.5212565,"Sh0"
"387","Sh01_g009820",309,"Sh01",14551118,14559830,"+",8712,14555474,3.54683195592286,14.555474,"Sh0"
"388","Sh01_g009830",38,"Sh01",14575432,14576596,"+",1164,14576014,3.26460481099656,14.576014,"Sh0"
"389","Sh01_g009940",144,"Sh01",14694345,14697313,"+",2968,14695829,4.85175202156334,14.695829,"Sh0"
"390","Sh01_g010000",18,"Sh01",14718056,14722354,"-",4298,14720205,0.418799441600745,14.720205,"Sh0"
"391","Sh01_g010010",18,"Sh01",14750621,14755573,"-",4952,14753097,0.363489499192246,14.753097,"Sh0"
"392","Sh01_g010070",36,"Sh01",14812865,14819335,"-",6470,14816100,0.556414219474498,14.8161,"Sh0"
"393","Sh01_g010130",18,"Sh01",14899581,14903111,"-",3530,14901346,0.509915014164306,14.901346,"Sh0"
"394","Sh01_g010160",18,"Sh01",14921128,14925490,"-",4362,14923309,0.412654745529574,14.923309,"Sh0"
"395","Sh01_g010280",54,"Sh01",15104340,15107713,"+",3373,15106026.5,1.60094871034687,15.1060265,"Sh0"
"396","Sh01_g010300",122,"Sh01",15164306,15168499,"-",4193,15166402.5,2.90961125685667,15.1664025,"Sh0"
"397","Sh01_g010310",18,"Sh01",15181854,15187000,"+",5146,15184427,0.349786241741158,15.184427,"Sh0"
"398","Sh01_g010340",178,"Sh01",15208658,15213301,"+",4643,15210979.5,3.83372819297868,15.2109795,"Sh0"
"399","Sh01_g010400",18,"Sh01",15225907,15226743,"-",836,15226325,2.15311004784689,15.226325,"Sh0"
"400","Sh01_g010420",18,"Sh01",15261101,15268509,"-",7408,15264805,0.242980561555076,15.264805,"Sh0"
"401","Sh01_g010440",18,"Sh01",15275623,15277589,"-",1966,15276606,0.915564598168871,15.276606,"Sh0"
"402","Sh01_g010470",111,"Sh01",15347888,15354598,"-",6710,15351243,1.65424739195231,15.351243,"Sh0"
"403","Sh01_g010480",21,"Sh01",15362440,15367158,"-",4718,15364799,0.445103857566766,15.364799,"Sh0"
"404","Sh01_g010490",48,"Sh01",15373512,15376629,"+",3117,15375070.5,1.53994225216554,15.3750705,"Sh0"
"405","Sh01_g010500",99,"Sh01",15378324,15381448,"-",3124,15379886,3.16901408450704,15.379886,"Sh0"
"406","Sh01_g010520",559,"Sh01",15449140,15451219,"+",2079,15450179.5,26.8879268879269,15.4501795,"Sh0"
"407","Sh01_g010530",107,"Sh01",15485585,15488019,"-",2434,15486802,4.39605587510271,15.486802,"Sh0"
"408","Sh01_g010540",18,"Sh01",15526636,15533807,"-",7171,15530221.5,0.251011016594617,15.5302215,"Sh0"
"409","Sh01_g010620",20,"Sh01",15597601,15598771,"+",1170,15598186,1.70940170940171,15.598186,"Sh0"
"410","Sh01_g010640",18,"Sh01",15656338,15659856,"+",3518,15658097,0.511654349061967,15.658097,"Sh0"
"411","Sh01_g010700",43,"Sh01",15672618,15676456,"-",3838,15674537,1.12037519541428,15.674537,"Sh0"
"412","Sh01_g010710",149,"Sh01",15682800,15685062,"-",2262,15683931,6.58709106984969,15.683931,"Sh0"
"413","Sh01_g010720",18,"Sh01",15685316,15694279,"+",8963,15689797.5,0.200825616423073,15.6897975,"Sh0"
"414","Sh01_g010760",106,"Sh01",15740899,15744931,"-",4032,15742915,2.62896825396825,15.742915,"Sh0"
"415","Sh01_g010770",19,"Sh01",15750940,15751785,"+",845,15751362.5,2.24852071005917,15.7513625,"Sh0"
"416","Sh01_g010810",36,"Sh01",15854611,15856346,"+",1735,15855478.5,2.07492795389049,15.8554785,"Sh0"
"417","Sh01_g010850",43,"Sh01",15905915,15915164,"+",9249,15910539.5,0.464915125959563,15.9105395,"Sh0"
"418","Sh01_g010900",20,"Sh01",15993577,16012385,"-",18808,16002981,0.106337728626117,16.002981,"Sh0"
"419","Sh01_g010940",17,"Sh01",16109372,16113865,"+",4493,16111618.5,0.378366347651903,16.1116185,"Sh0"
"420","Sh01_g010950",18,"Sh01",16121054,16125743,"-",4689,16123398.5,0.383877159309021,16.1233985,"Sh0"
"421","Sh01_g010960",18,"Sh01",16145336,16149742,"-",4406,16147539,0.408533817521562,16.147539,"Sh0"
"422","Sh01_g010990",60,"Sh01",16169355,16174451,"-",5096,16171903,1.17739403453689,16.171903,"Sh0"
"423","Sh01_g011020",73,"Sh01",16198549,16206665,"+",8116,16202607,0.899457861015278,16.202607,"Sh0"
"424","Sh01_g011040",18,"Sh01",16234514,16238915,"-",4401,16236714.5,0.408997955010225,16.2367145,"Sh0"
"425","Sh01_g011060",25,"Sh01",16309787,16310209,"-",422,16309998,5.92417061611374,16.309998,"Sh0"
